paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,age_days,text_for_embedding
10.1145/3637528.3671824,Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines,,"['Quang Le', 'Yen Vu']","['Evaluation Methodology', 'Enterprise Systems']",Evaluation Methodology,2026-06-12,2026-06-12,https://doi.org/10.1145/3637528.3671824,https://doi.org/10.1145/3637528.3671824,,"Quang Le, Yen Vu","Evaluation Methodology, Enterprise Systems",0,105,"Title: Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines
Authors: Quang Le, Yen Vu
Published: 2026-06-12
Categories: Evaluation Methodology, Enterprise Systems
Summary: "
10.1145/3637528.3671823,Advance,An extended empirical study on ense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall Further analysis on scaling parameters.,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2021-06-12,2026-06-11,https://doi.org/10.1145/3637528.3671823,https://doi.org/10.1145/3637528.3671823,,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",268,1931,"Title: Advance
Authors: Dat Tran, Lan Pham
Published: 2021-06-12
Categories: Information Retrieval, Algorithms
Summary: An extended empirical study on ense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall Further analysis on scaling parameters."
10.1145/3637528.3671822,Advance,#@!$ An extended empirical ~~%^& study on mbedding @@## quality checks directly @@## into data pipelines #@!$ enables fail-closed governance. @@## We show how &&** Great Expectations suites @@## catch schema drifts xkcd### and null fields NULL_TOKEN before documents reach #@!$ the embedding model qz9$$x Further analysis on &&** scaling parameters.,"['Son Nguyen', 'Thuy Doan']","['Data Quality', 'DevOps']",Data Quality,2021-06-11,2026-06-10,https://doi.org/10.1145/3637528.3671822,https://doi.org/10.1145/3637528.3671822,,"Son Nguyen, Thuy Doan","Data Quality, DevOps",349,1932,"Title: Advance
Authors: Son Nguyen, Thuy Doan
Published: 2021-06-11
Categories: Data Quality, DevOps
Summary: #@!$ An extended empirical ~~%^& study on mbedding @@## quality checks directly @@## into data pipelines #@!$ enables fail-closed governance. @@## We show how &&** Great Expectations suites @@## catch schema drifts xkcd### and null fields NULL_TOKEN before documents reach #@!$ the embedding model qz9$$x Further analysis on &&** scaling parameters."
10.1145/3637528.3671821,Advanced Perspectives on Chunking Strategies for Technical Documentation Retrieval,,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2026-06-09,2026-06-09,https://doi.org/10.1145/3637528.3671821,https://doi.org/10.1145/3637528.3671821,,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",0,108,"Title: Advanced Perspectives on Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2026-06-09
Categories: Information Retrieval, Natural Language Processing
Summary: "
10.1145/3637528.3671810,Automated Data Quality Profiling with Great Expectations in CI/CD,|/|\| Embedding quality checks NULL_TOKEN directly into data qz9$$x pipelines enables fail-closed @@## governance. We show |/|\| how Great Expectations ~~%^& suites catch schema ~~%^& drifts and null &&** fields before documents ~~%^& reach the embedding |/|\| model.,"['Son Nguyen', 'Thuy Doan']","['Data Quality', 'DevOps']",Data Quality,2026-06-08,2026-06-08,https://doi.org/10.1145/3637528.3671810,https://doi.org/10.1145/3637528.3671810,,"Son Nguyen, Thuy Doan","Data Quality, DevOps",267,109,"Title: Automated Data Quality Profiling with Great Expectations in CI/CD
Authors: Son Nguyen, Thuy Doan
Published: 2026-06-08
Categories: Data Quality, DevOps
Summary: |/|\| Embedding quality checks NULL_TOKEN directly into data qz9$$x pipelines enables fail-closed @@## governance. We show |/|\| how Great Expectations ~~%^& suites catch schema ~~%^& drifts and null &&** fields before documents ~~%^& reach the embedding |/|\| model."
10.1145/3637528.3671820,Advanced Perspectives on Multi-Agent Consensus for High-Stakes Fact Verification,An extended empirical study on single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations Further analysis on scaling parameters.,"['Phong Vu', 'Ngan Hoang']","['Multi-Agent Systems', 'Artificial Intelligence']",Multi-Agent Systems,2026-06-08,2026-06-08,https://doi.org/10.1145/3637528.3671820,https://doi.org/10.1145/3637528.3671820,,"Phong Vu, Ngan Hoang","Multi-Agent Systems, Artificial Intelligence",271,109,"Title: Advanced Perspectives on Multi-Agent Consensus for High-Stakes Fact Verification
Authors: Phong Vu, Ngan Hoang
Published: 2026-06-08
Categories: Multi-Agent Systems, Artificial Intelligence
Summary: An extended empirical study on single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations Further analysis on scaling parameters."
10.1145/3637528.3671819,Advance,"An extended empirical study on e introduce an automated fuzzing suite that corrupts text chunks by injecting noise, truncating titles, and blanking summaries. Experiments reveal critical failure thresholds for dense embedding retrieval Further analysis on scaling parameters.","['Kien Duong', 'Vy Ly']","['Robustness', 'Information Retrieval']",Robustness,2021-06-08,2026-06-07,https://doi.org/10.1145/3637528.3671819,https://doi.org/10.1145/3637528.3671819,,"Kien Duong, Vy Ly","Robustness, Information Retrieval",275,1935,"Title: Advance
Authors: Kien Duong, Vy Ly
Published: 2021-06-08
Categories: Robustness, Information Retrieval
Summary: An extended empirical study on e introduce an automated fuzzing suite that corrupts text chunks by injecting noise, truncating titles, and blanking summaries. Experiments reveal critical failure thresholds for dense embedding retrieval Further analysis on scaling parameters."
10.1145/3637528.3671818,Advanced Perspectives on Semantic Layer Integration for Agentic Text-to-SQL Pipelines,,"['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2021-06-07,2026-06-06,https://doi.org/10.1145/3637528.3671818,https://doi.org/10.1145/3637528.3671818,,"Huy Dinh, Trang Vo","Databases, Information Systems",0,1936,"Title: Advanced Perspectives on Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2021-06-07
Categories: Databases, Information Systems
Summary: "
10.1145/3637528.3671817,Advanced Perspectives on Evaluating Retrieval Precision with Token F1 and LLM Judges,,"['Tuan Phan', 'Mai Bui']","['Natural Language Processing', 'Evaluation Methodology']",Natural Language Processing,2026-06-05,2026-06-05,https://doi.org/10.1145/3637528.3671817,https://doi.org/10.1145/3637528.3671817,,"Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",0,112,"Title: Advanced Perspectives on Evaluating Retrieval Precision with Token F1 and LLM Judges
Authors: Tuan Phan, Mai Bui
Published: 2026-06-05
Categories: Natural Language Processing, Evaluation Methodology
Summary: "
10.1145/3637528.3671816,Advanced Perspectives on Freshness SLAs for Real-Time LLM Knowledge Augmentation,"An extended empirical study on e define freshness service-level agreements (SLAs) for temporal document ingestion. By tracking document age and update cadence, our orchestrator dynamically prioritizes recrawling high-churn technical corpora Further analysis on scaling parameters.","['Bao Do', 'Linh Ngo']","['Data Management', 'Artificial Intelligence']",Data Management,2021-06-05,2026-06-04,https://doi.org/10.1145/3637528.3671816,https://doi.org/10.1145/3637528.3671816,,"Bao Do, Linh Ngo","Data Management, Artificial Intelligence",280,1938,"Title: Advanced Perspectives on Freshness SLAs for Real-Time LLM Knowledge Augmentation
Authors: Bao Do, Linh Ngo
Published: 2021-06-05
Categories: Data Management, Artificial Intelligence
Summary: An extended empirical study on e define freshness service-level agreements (SLAs) for temporal document ingestion. By tracking document age and update cadence, our orchestrator dynamically prioritizes recrawling high-churn technical corpora Further analysis on scaling parameters."
